location,case_percentage,death_percentage
Reunion,0.164953891,0.145192101
Romania,0.138097555,0.119861024
Russia,0.145626062,0.127295106
Rwanda,0.123844277,0.120146467
Saint Barthelemy,0.132317585,0.135427952
Saint Kitts and Nevis,0.143361673,0.145055499
Saint Lucia,0.145376024,0.136754645
Saint Martin (French part),0.14432188,0.11403922
Saint Pierre and Miquelon,0.148058936,0.210748156
Saint Vincent and the Grenadines,0.134959471,0.146943806
Samoa,0.168718821,0.193266833
San Marino,0.157833615,0.103660192
Sao Tome and Principe,0.12631587,0.118615168
Saudi Arabia,0.110214549,0.09808626
Senegal,0.103122711,0.108039368
Serbia,0.142736808,0.129763819
Seychelles,0.141941751,0.12929706
Sierra Leone,0.104488185,0.093994778
Singapore,0.206825469,0.173646793
Sint Maarten (Dutch part),0.13550566,0.117091548
Slovakia,0.141971536,0.12106451
Slovenia,0.155064192,0.127981968
Solomon Islands,0.173920902,0.167443693
Somalia,0.114135685,0.113410429
South Africa,0.115763763,0.108975585
South America,0.128189409,0.108159321
South Korea,0.220032725,0.18872373
South Sudan,0.112906819,0.096885619
Spain,0.136740837,0.106819489
Sri Lanka,0.123543158,0.129700919
Sudan,0.111668438,0.116965896
Suriname,0.132060576,0.125847324
Sweden,0.13075195,0.120419535
Switzerland,0.152601059,0.105519847
Syria,0.119712622,0.114394255
Tajikistan,0.092297341,0.091263525
Tanzania,0.14355372,0.127743426
Thailand,0.150850538,0.148293192
Timor,0.121834002,0.13083173
Togo,0.125354299,0.115564092
Tonga,0.177937188,0.177619893
Trinidad and Tobago,0.151985297,0.143926121
Tunisia,0.128002259,0.117043332
Turkey,0.133985893,0.11887031
Turks and Caicos Islands,0.129449269,0.12389999
Tuvalu,0.000548047,0.806451613
Uganda,0.120488258,0.120719598
Ukraine,0.130725866,0.1245177
United Arab Emirates,0.119882383,0.104483819
United Kingdom,0.14082702,0.10933536
United States,0.135955659,0.117423762
United States Virgin Islands,0.155305774,0.13177335
Upper middle income,0.173190527,0.114853762
Uruguay,0.142549516,0.120711405
Uzbekistan,0.141041364,0.132700134
Vanuatu,0.144597752,0.181747371
Venezuela,0.119242993,0.116532861
Vietnam,0.16845419,0.140200232
Wallis and Futuna,0.201247906,0.127959053
World,0.156727921,0.116491276
Yemen,0.113331265,0.108210842
Zambia,0.127975734,0.115128391
Zimbabwe,0.133312198,0.120871697
